"","respondent","selected","distance","community","affordable","height","site","units","tenant","own","city_interest","prop_i_ban_dummy","supply_dummy"
"180","R_1ohuBT2NAWc1ZMP",1,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","3 stories","Historically-designated building","48 units","Own",0,-0.15,1,0
"181","R_1ohuBT2NAWc1ZMP",1,"1 mile (20 minute walk)","No opinion","All of the units","12 stories","Parking lot","96 units","Rent",0,-0.15,1,0
"182","R_1ohuBT2NAWc1ZMP",0,"1 mile (20 minute walk)","No opinion","None of the units","3 stories","Empty building","24 units","Own",0,-0.15,1,0
"183","R_2PhWwRg2gFPymVS",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","3 stories","Open field","12 units","Rent",0,-0.1,0,1
"184","R_2PhWwRg2gFPymVS",0,"1 mile (20 minute walk)","Oppose the building","None of the units","3 stories","Empty building","12 units","Rent",0,-0.1,0,1
"185","R_2PhWwRg2gFPymVS",0,"1 mile (20 minute walk)","Oppose the building","None of the units","6 stories","Empty building","96 units","Own",0,-0.1,0,1
"186","R_2PhWwRg2gFPymVS",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","24 units","Own",0,-0.1,0,1
"187","R_2PhWwRg2gFPymVS",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Empty building","12 units","Own",0,-0.1,0,1
"188","R_2PhWwRg2gFPymVS",0,"1 mile (20 minute walk)","No opinion","None of the units","12 stories","Open field","96 units","Rent",0,-0.1,0,1
"189","R_2PhWwRg2gFPymVS",1,"1 mile (20 minute walk)","Support the building","None of the units","3 stories","Historically-designated building","12 units","Own",0,-0.1,0,1
"190","R_2PhWwRg2gFPymVS",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","2 stories","Historically-designated building","12 units","Rent",0,-0.1,0,1
"191","R_2PhWwRg2gFPymVS",1,"1 mile (20 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","12 units","Rent",0,-0.1,0,1
"192","R_2PhWwRg2gFPymVS",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","12 stories","Empty building","48 units","Own",0,-0.1,0,1
"193","R_24AfFVeWTotG6bw",0,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","6 stories","Empty building","48 units","Own",1,0.05,0,1
"194","R_24AfFVeWTotG6bw",1,"2 miles (40 minute walk)","Support the building","One-quarter of the units","12 stories","Empty building","48 units","Own",1,0.05,0,1
"195","R_24AfFVeWTotG6bw",0,"2 miles (40 minute walk)","Oppose the building","Half of the units","12 stories","Historically-designated building","12 units","Own",1,0.05,0,1
"196","R_24AfFVeWTotG6bw",1,"1/2 mile (10 minute walk)","No opinion","All of the units","6 stories","Historically-designated building","96 units","Own",1,0.05,0,1
"197","R_24AfFVeWTotG6bw",1,"1/2 mile (10 minute walk)","No opinion","Half of the units","2 stories","Open field","48 units","Own",1,0.05,0,1
"198","R_24AfFVeWTotG6bw",0,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Empty building","12 units","Rent",1,0.05,0,1
"199","R_24AfFVeWTotG6bw",0,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","3 stories","Parking lot","12 units","Rent",1,0.05,0,1
"200","R_24AfFVeWTotG6bw",1,"1/8 mile (2 minute walk)","No opinion","All of the units","3 stories","Open field","12 units","Own",1,0.05,0,1
"201","R_24AfFVeWTotG6bw",0,"2 miles (40 minute walk)","Support the building","Half of the units","3 stories","Parking lot","12 units","Own",1,0.05,0,1
"202","R_24AfFVeWTotG6bw",1,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Parking lot","96 units","Own",1,0.05,0,1
"203","R_1Iu4yV6j52FJ4Zf",0,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Empty building","12 units","Rent",0,-0.1,1,0
"204","R_1Iu4yV6j52FJ4Zf",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","12 stories","Empty building","48 units","Rent",0,-0.1,1,0
"205","R_1Iu4yV6j52FJ4Zf",0,"1 mile (20 minute walk)","Support the building","All of the units","6 stories","Empty building","48 units","Rent",0,-0.1,1,0
"206","R_1Iu4yV6j52FJ4Zf",1,"1 mile (20 minute walk)","No opinion","All of the units","2 stories","Parking lot","12 units","Rent",0,-0.1,1,0
"207","R_1Iu4yV6j52FJ4Zf",0,"1 mile (20 minute walk)","Support the building","Half of the units","6 stories","Empty building","48 units","Rent",0,-0.1,1,0
"208","R_1Iu4yV6j52FJ4Zf",0,"1 mile (20 minute walk)","Support the building","One-quarter of the units","6 stories","Parking lot","96 units","Rent",0,-0.1,1,0
"209","R_1Iu4yV6j52FJ4Zf",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Historically-designated building","96 units","Own",0,-0.1,1,0
"210","R_1Iu4yV6j52FJ4Zf",0,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Historically-designated building","12 units","Rent",0,-0.1,1,0
"211","R_1Iu4yV6j52FJ4Zf",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","6 stories","Historically-designated building","48 units","Own",0,-0.1,1,0
"212","R_1Iu4yV6j52FJ4Zf",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","6 stories","Empty building","48 units","Own",0,-0.1,1,0
"213","R_WeSE7lOUCnSXmZb",0,"2 miles (40 minute walk)","No opinion","None of the units","2 stories","Empty building","96 units","Own",0,-0.15,NA,1
"214","R_WeSE7lOUCnSXmZb",0,"1/2 mile (10 minute walk)","Oppose the building","All of the units","6 stories","Historically-designated building","12 units","Own",0,-0.15,NA,1
"215","R_WeSE7lOUCnSXmZb",1,"2 miles (40 minute walk)","No opinion","Half of the units","2 stories","Parking lot","12 units","Own",0,-0.15,NA,1
"216","R_WeSE7lOUCnSXmZb",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","6 stories","Empty building","48 units","Rent",0,-0.15,NA,1
"217","R_WeSE7lOUCnSXmZb",0,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","2 stories","Open field","24 units","Rent",0,-0.15,NA,1
"218","R_WeSE7lOUCnSXmZb",1,"1/2 mile (10 minute walk)","Support the building","None of the units","6 stories","Open field","12 units","Rent",0,-0.15,NA,1
"219","R_WeSE7lOUCnSXmZb",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","3 stories","Open field","96 units","Own",0,-0.15,NA,1
"220","R_WeSE7lOUCnSXmZb",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","12 stories","Parking lot","24 units","Own",0,-0.15,NA,1
"221","R_WeSE7lOUCnSXmZb",0,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Empty building","96 units","Rent",0,-0.15,NA,1
"222","R_WeSE7lOUCnSXmZb",1,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Open field","12 units","Rent",0,-0.15,NA,1
"223","R_1N9vrWxSMRJcPRI",0,"1 mile (20 minute walk)","Oppose the building","Half of the units","3 stories","Open field","24 units","Own",1,-0.15,1,1
"224","R_1N9vrWxSMRJcPRI",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","2 stories","Parking lot","48 units","Rent",1,-0.15,1,1
"225","R_1N9vrWxSMRJcPRI",0,"1/8 mile (2 minute walk)","No opinion","Half of the units","6 stories","Parking lot","24 units","Rent",1,-0.15,1,1
"226","R_1N9vrWxSMRJcPRI",0,"1 mile (20 minute walk)","No opinion","None of the units","12 stories","Empty building","96 units","Rent",1,-0.15,1,1
"227","R_1N9vrWxSMRJcPRI",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","3 stories","Open field","96 units","Rent",1,-0.15,1,1
"228","R_1N9vrWxSMRJcPRI",1,"2 miles (40 minute walk)","Oppose the building","All of the units","12 stories","Empty building","24 units","Rent",1,-0.15,1,1
"229","R_1N9vrWxSMRJcPRI",0,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","6 stories","Empty building","48 units","Rent",1,-0.15,1,1
"230","R_1N9vrWxSMRJcPRI",1,"1 mile (20 minute walk)","Oppose the building","All of the units","12 stories","Parking lot","24 units","Rent",1,-0.15,1,1
"231","R_1N9vrWxSMRJcPRI",0,"1 mile (20 minute walk)","Support the building","None of the units","6 stories","Open field","48 units","Rent",1,-0.15,1,1
"232","R_1N9vrWxSMRJcPRI",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","3 stories","Open field","96 units","Rent",1,-0.15,1,1
"233","R_DvnKJpqq5qLRsiZ",0,"1 mile (20 minute walk)","Oppose the building","Half of the units","3 stories","Historically-designated building","24 units","Own",0,-0.1,1,1
"234","R_DvnKJpqq5qLRsiZ",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","12 stories","Parking lot","48 units","Own",0,-0.1,1,1
"235","R_DvnKJpqq5qLRsiZ",0,"2 miles (40 minute walk)","No opinion","One-quarter of the units","3 stories","Historically-designated building","48 units","Rent",0,-0.1,1,1
"236","R_DvnKJpqq5qLRsiZ",1,"2 miles (40 minute walk)","Oppose the building","Half of the units","2 stories","Empty building","24 units","Own",0,-0.1,1,1
"237","R_DvnKJpqq5qLRsiZ",1,"1/8 mile (2 minute walk)","No opinion","All of the units","2 stories","Open field","48 units","Rent",0,-0.1,1,1
"238","R_DvnKJpqq5qLRsiZ",1,"1/2 mile (10 minute walk)","Support the building","None of the units","6 stories","Open field","12 units","Rent",0,-0.1,1,1
"239","R_DvnKJpqq5qLRsiZ",0,"1/8 mile (2 minute walk)","Oppose the building","All of the units","6 stories","Historically-designated building","96 units","Own",0,-0.1,1,1
"240","R_DvnKJpqq5qLRsiZ",1,"1/2 mile (10 minute walk)","No opinion","Half of the units","3 stories","Historically-designated building","96 units","Own",0,-0.1,1,1
"241","R_DvnKJpqq5qLRsiZ",0,"1 mile (20 minute walk)","No opinion","One-quarter of the units","12 stories","Historically-designated building","96 units","Own",0,-0.1,1,1
"242","R_DvnKJpqq5qLRsiZ",0,"1/8 mile (2 minute walk)","No opinion","None of the units","3 stories","Historically-designated building","48 units","Rent",0,-0.1,1,1
"243","R_1HiMCDfoA4W7qjU",0,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Parking lot","96 units","Own",0,-0.1,0,1
"244","R_1HiMCDfoA4W7qjU",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","3 stories","Empty building","48 units","Own",0,-0.1,0,1
"245","R_1HiMCDfoA4W7qjU",1,"1 mile (20 minute walk)","Oppose the building","Half of the units","2 stories","Open field","48 units","Own",0,-0.1,0,1
"246","R_1HiMCDfoA4W7qjU",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","12 stories","Parking lot","96 units","Own",0,-0.1,0,1
"247","R_1HiMCDfoA4W7qjU",1,"1 mile (20 minute walk)","No opinion","Half of the units","12 stories","Open field","12 units","Rent",0,-0.1,0,1
"248","R_1HiMCDfoA4W7qjU",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","3 stories","Open field","12 units","Own",0,-0.1,0,1
"249","R_1HiMCDfoA4W7qjU",1,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","2 stories","Parking lot","96 units","Rent",0,-0.1,0,1
"250","R_1HiMCDfoA4W7qjU",0,"1/8 mile (2 minute walk)","Oppose the building","All of the units","2 stories","Empty building","12 units","Own",0,-0.1,0,1
"251","R_1HiMCDfoA4W7qjU",1,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Empty building","48 units","Own",0,-0.1,0,1
"252","R_1HiMCDfoA4W7qjU",0,"1/8 mile (2 minute walk)","Support the building","None of the units","2 stories","Empty building","48 units","Own",0,-0.1,0,1
"253","R_3lM878Fx22M61sV",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","6 stories","Empty building","96 units","Own",0,0,1,1
"254","R_3lM878Fx22M61sV",0,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","12 stories","Open field","12 units","Rent",0,0,1,1
"255","R_3lM878Fx22M61sV",1,"1/8 mile (2 minute walk)","No opinion","All of the units","12 stories","Empty building","96 units","Rent",0,0,1,1
"256","R_3lM878Fx22M61sV",0,"1/8 mile (2 minute walk)","Support the building","Half of the units","3 stories","Historically-designated building","48 units","Own",0,0,1,1
"257","R_3lM878Fx22M61sV",1,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Parking lot","24 units","Rent",0,0,1,1
"258","R_3lM878Fx22M61sV",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","6 stories","Historically-designated building","96 units","Own",0,0,1,1
"259","R_3lM878Fx22M61sV",1,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Empty building","96 units","Rent",0,0,1,1
"260","R_3lM878Fx22M61sV",0,"1 mile (20 minute walk)","No opinion","None of the units","2 stories","Parking lot","48 units","Own",0,0,1,1
"261","R_3lM878Fx22M61sV",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","12 stories","Empty building","12 units","Rent",0,0,1,1
"262","R_3lM878Fx22M61sV",1,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Parking lot","48 units","Rent",0,0,1,1
"263","R_rkCuqZrDAsQGPU5",0,"1/2 mile (10 minute walk)","Support the building","None of the units","3 stories","Historically-designated building","48 units","Rent",0,-0.15,0,1
"264","R_rkCuqZrDAsQGPU5",0,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Open field","12 units","Rent",0,-0.15,0,1
"265","R_rkCuqZrDAsQGPU5",1,"2 miles (40 minute walk)","No opinion","None of the units","6 stories","Open field","96 units","Own",0,-0.15,0,1
"266","R_rkCuqZrDAsQGPU5",1,"2 miles (40 minute walk)","No opinion","Half of the units","2 stories","Open field","96 units","Rent",0,-0.15,0,1
"267","R_rkCuqZrDAsQGPU5",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","2 stories","Open field","12 units","Own",0,-0.15,0,1
"268","R_rkCuqZrDAsQGPU5",0,"1/2 mile (10 minute walk)","No opinion","None of the units","2 stories","Open field","12 units","Own",0,-0.15,0,1
"269","R_rkCuqZrDAsQGPU5",0,"2 miles (40 minute walk)","No opinion","None of the units","12 stories","Historically-designated building","48 units","Rent",0,-0.15,0,1
"270","R_rkCuqZrDAsQGPU5",1,"1 mile (20 minute walk)","Support the building","Half of the units","12 stories","Parking lot","96 units","Rent",0,-0.15,0,1
"271","R_rkCuqZrDAsQGPU5",1,"1 mile (20 minute walk)","No opinion","Half of the units","2 stories","Empty building","96 units","Own",0,-0.15,0,1
"272","R_rkCuqZrDAsQGPU5",0,"1/8 mile (2 minute walk)","Support the building","Half of the units","6 stories","Open field","48 units","Rent",0,-0.15,0,1
"273","R_vAlQjQPgk8lkj5v",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","2 stories","Historically-designated building","12 units","Own",0,-0.1,1,1
"274","R_vAlQjQPgk8lkj5v",0,"1 mile (20 minute walk)","No opinion","None of the units","12 stories","Historically-designated building","24 units","Own",0,-0.1,1,1
"275","R_vAlQjQPgk8lkj5v",0,"1 mile (20 minute walk)","Support the building","None of the units","2 stories","Empty building","96 units","Rent",0,-0.1,1,1
"276","R_vAlQjQPgk8lkj5v",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","2 stories","Historically-designated building","96 units","Rent",0,-0.1,1,1
"277","R_vAlQjQPgk8lkj5v",1,"2 miles (40 minute walk)","No opinion","Half of the units","3 stories","Empty building","24 units","Own",0,-0.1,1,1
"278","R_vAlQjQPgk8lkj5v",0,"1/8 mile (2 minute walk)","Support the building","Half of the units","3 stories","Historically-designated building","24 units","Own",0,-0.1,1,1
"279","R_vAlQjQPgk8lkj5v",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","24 units","Own",0,-0.1,1,1
"280","R_vAlQjQPgk8lkj5v",0,"2 miles (40 minute walk)","No opinion","One-quarter of the units","3 stories","Historically-designated building","24 units","Rent",0,-0.1,1,1
"281","R_vAlQjQPgk8lkj5v",1,"1 mile (20 minute walk)","Support the building","All of the units","12 stories","Parking lot","12 units","Own",0,-0.1,1,1
"282","R_vAlQjQPgk8lkj5v",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","2 stories","Empty building","12 units","Own",0,-0.1,1,1
"283","R_2SwxZDdYi9fPstK",1,"2 miles (40 minute walk)","No opinion","None of the units","12 stories","Historically-designated building","24 units","Rent",1,-0.15,0,NA
"284","R_2SwxZDdYi9fPstK",0,"1 mile (20 minute walk)","Oppose the building","All of the units","12 stories","Parking lot","48 units","Rent",1,-0.15,0,NA
"285","R_C7Yb4Kr8GK2Bq93",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","96 units","Rent",0,-0.15,0,1
"286","R_C7Yb4Kr8GK2Bq93",1,"2 miles (40 minute walk)","Oppose the building","Half of the units","6 stories","Open field","48 units","Rent",0,-0.15,0,1
"287","R_C7Yb4Kr8GK2Bq93",0,"1 mile (20 minute walk)","No opinion","Half of the units","3 stories","Parking lot","12 units","Own",0,-0.15,0,1
"288","R_C7Yb4Kr8GK2Bq93",0,"1/2 mile (10 minute walk)","No opinion","All of the units","2 stories","Empty building","24 units","Rent",0,-0.15,0,1
"289","R_C7Yb4Kr8GK2Bq93",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","6 stories","Historically-designated building","48 units","Rent",0,-0.15,0,1
